bfp,score,age,sex,grade
0.0,0.0,0,1,0
9.5,0.3,0,1,1
14.0,1.0,0,1,2
16.4,1.0,0,1,3
19.5,0.9,0,1,4
22.8,0.7,0,1,5
27.2,0.3,0,1,6
58.6,0.0,0,1,7
1.0,0.0,0,1,8
0.0,0.0,1,1,0
9.5,0.3,1,1,1
14.0,1.0,1,1,2
17.5,1.0,1,1,3
20.9,0.9,1,1,4
24.7,0.7,1,1,5
29.2,0.3,1,1,6
58.6,0.0,1,1,7
1.0,0.0,1,1,8
0.0,0.0,2,1,0
9.5,0.3,2,1,1
14.0,1.0,2,1,2
19.9,1.0,2,1,3
23.9,0.9,2,1,4
27.7,0.7,2,1,5
32.0,0.3,2,1,6
58.6,0.0,2,1,7
1.0,0.0,2,1,8
0.0,0.0,3,1,0
9.5,0.3,3,1,1
14.0,1.0,3,1,2
22.6,1.0,3,1,3
27.1,0.9,3,1,4
30.5,0.7,3,1,5
34.6,0.3,3,1,6
58.6,0.0,3,1,7
1.0,0.0,3,1,8
0.0,0.0,4,1,0
9.5,0.3,4,1,1
14.0,1.0,4,1,2
23.3,1.0,4,1,3
28.0,0.9,4,1,4
31.4,0.7,4,1,5
35.5,0.3,4,1,6
58.6,0.0,4,1,7
1.0,0.0,4,1,8
0.0,0.0,0,0,0
4.0,0.3,0,0,1
8.0,1.0,0,0,2
10.6,1.0,0,0,3
14.9,0.9,0,0,4
18.7,0.7,0,0,5
23.2,0.3,0,0,6
58.6,0.0,0,0,7
1.0,0.0,0,0,8
0.0,0.0,1,0,0
4.0,0.3,1,0,1
8.0,1.0,1,0,2
14.6,1.0,1,0,3
18.3,0.9,1,0,4
21.4,0.7,1,0,5
25.0,0.3,1,0,6
58.6,0.0,1,0,7
1.0,0.0,1,0,8
0.0,0.0,2,0,0
4.0,0.3,2,0,1
8.0,1.0,2,0,2
17.5,1.0,2,0,3
20.7,0.9,2,0,4
23.5,0.7,2,0,5
26.7,0.3,2,0,6
58.6,0.0,2,0,7
1.0,0.0,2,0,8
0.0,0.0,3,0,0
4.0,0.3,3,0,1
8.0,1.0,3,0,2
19.2,1.0,3,0,3
22.2,0.9,3,0,4
24.7,0.7,3,0,5
27.9,0.3,3,0,6
58.6,0.0,3,0,7
1.0,0.0,3,0,8
0.0,0.0,4,0,0
4.0,0.3,4,0,1
8.0,1.0,4,0,2
19.8,1.0,4,0,3
22.7,0.9,4,0,4
25.3,0.7,4,0,5
28.5,0.3,4,0,6
58.6,0.0,4,0,7
1.0,0.0,4,0,8
